GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,GEOID_1,NAMELSAD_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,OBJECTID_1
370010206021,Block Group 1,471952.000000000000000,0.000000000000000,+36.1039902,-79.4587156,12,37001020602,Census Tract 206.02,2786604.000000000000000,40195.000000000000000,+36.0958040,-79.4621793,8
370010206022,Block Group 2,2314652.000000000000000,40195.000000000000000,+36.0941794,-79.4652879,13,37001020602,Census Tract 206.02,2786604.000000000000000,40195.000000000000000,+36.0958040,-79.4621793,8
370010207014,Block Group 4,2671398.000000000000000,14288.000000000000000,+36.0623593,-79.4810442,14,37001020701,Census Tract 207.01,6799375.000000000000000,16670.000000000000000,+36.0698004,-79.4810886,9
370010207023,Block Group 3,558146.000000000000000,0.000000000000000,+36.0695470,-79.4607082,15,37001020702,Census Tract 207.02,7572080.000000000000000,21301.000000000000000,+36.0624647,-79.4583523,10
370010207024,Block Group 4,4929982.000000000000000,20760.000000000000000,+36.0565760,-79.4625633,16,37001020702,Census Tract 207.02,7572080.000000000000000,21301.000000000000000,+36.0624647,-79.4583523,10
370010208011,Block Group 1,1889115.000000000000000,0.000000000000000,+36.0673755,-79.4337258,17,37001020801,Census Tract 208.01,11909863.000000000000000,138041.000000000000000,+36.0490131,-79.4493095,11
370010208012,Block Group 2,10020748.000000000000000,138041.000000000000000,+36.0397429,-79.4493846,18,37001020801,Census Tract 208.01,11909863.000000000000000,138041.000000000000000,+36.0490131,-79.4493095,11
370010208021,Block Group 1,470786.000000000000000,0.000000000000000,+36.0866571,-79.4314481,19,37001020802,Census Tract 208.02,4728198.000000000000000,33037.000000000000000,+36.0791566,-79.4275785,47
370010208023,Block Group 3,1334589.000000000000000,880.000000000000000,+36.0752756,-79.4308761,20,37001020802,Census Tract 208.02,4728198.000000000000000,33037.000000000000000,+36.0791566,-79.4275785,47
370010208024,Block Group 4,694551.000000000000000,0.000000000000000,+36.0781998,-79.4248183,21,37001020802,Census Tract 208.02,4728198.000000000000000,33037.000000000000000,+36.0791566,-79.4275785,47
370010209011,Block Group 1,1410327.000000000000000,319.000000000000000,+36.0663562,-79.4071378,22,37001020901,Census Tract 209.01,7888527.000000000000000,75902.000000000000000,+36.0566771,-79.4180572,48
370010209012,Block Group 2,2232285.000000000000000,12688.000000000000000,+36.0542266,-79.4072166,23,37001020901,Census Tract 209.01,7888527.000000000000000,75902.000000000000000,+36.0566771,-79.4180572,48
370010209013,Block Group 3,4245915.000000000000000,62895.000000000000000,+36.0525169,-79.4245499,24,37001020901,Census Tract 209.01,7888527.000000000000000,75902.000000000000000,+36.0566771,-79.4180572,48
370010209021,Block Group 1,6927362.000000000000000,171326.000000000000000,+36.0295019,-79.4190372,25,37001020902,Census Tract 209.02,10254580.000000000000000,206306.000000000000000,+36.0292540,-79.4128455,12
370010209022,Block Group 2,3327218.000000000000000,34980.000000000000000,+36.0365091,-79.4036694,26,37001020902,Census Tract 209.02,10254580.000000000000000,206306.000000000000000,+36.0292540,-79.4128455,12
370010210003,Block Group 3,814889.000000000000000,0.000000000000000,+36.0734185,-79.4065332,27,37001021000,Census Tract 210,3350020.000000000000000,0.000000000000000,+36.0772656,-79.3979263,49
370010211012,Block Group 2,4917117.000000000000000,49610.000000000000000,+36.0659711,-79.3713130,28,37001021101,Census Tract 211.01,8077708.000000000000000,61403.000000000000000,+36.0690884,-79.3767636,13
370010211022,Block Group 2,2943612.000000000000000,3375.000000000000000,+36.0476350,-79.3831212,29,37001021102,Census Tract 211.02,10778467.000000000000000,211100.000000000000000,+36.0377304,-79.3746745,14
370010211023,Block Group 3,6105648.000000000000000,206539.000000000000000,+36.0324933,-79.3778864,30,37001021102,Census Tract 211.02,10778467.000000000000000,211100.000000000000000,+36.0377304,-79.3746745,14
370010212011,Block Group 1,11949181.000000000000000,1474609.000000000000000,+36.1139829,-79.3329625,31,37001021201,Census Tract 212.01,35120321.000000000000000,2208543.000000000000000,+36.1058538,-79.3538343,15
370010212012,Block Group 2,14969868.000000000000000,483756.000000000000000,+36.1139331,-79.3680013,32,37001021201,Census Tract 212.01,35120321.000000000000000,2208543.000000000000000,+36.1058538,-79.3538343,15
370010212013,Block Group 3,8201272.000000000000000,250178.000000000000000,+36.0757433,-79.3565903,33,37001021201,Census Tract 212.01,35120321.000000000000000,2208543.000000000000000,+36.1058538,-79.3538343,15
370010212041,Block Group 1,11676620.000000000000000,84550.000000000000000,+36.0475432,-79.2749703,34,37001021204,Census Tract 212.04,33305334.000000000000000,337584.000000000000000,+36.0441127,-79.3189482,16
370010212042,Block Group 2,8593212.000000000000000,68769.000000000000000,+36.0441127,-79.3189482,35,37001021204,Census Tract 212.04,33305334.000000000000000,337584.000000000000000,+36.0441127,-79.3189482,16
370010212043,Block Group 3,13035502.000000000000000,184265.000000000000000,+36.0529823,-79.3323560,36,37001021204,Census Tract 212.04,33305334.000000000000000,337584.000000000000000,+36.0441127,-79.3189482,16
370010212053,Block Group 3,7876410.000000000000000,52274.000000000000000,+36.0638928,-79.2866546,37,37001021205,Census Tract 212.05,11693137.000000000000000,90621.000000000000000,+36.0716991,-79.2842624,17
370010212061,Block Group 1,5357731.000000000000000,40316.000000000000000,+36.0837610,-79.3290560,38,37001021206,Census Tract 212.06,12970000.000000000000000,80013.000000000000000,+36.0854351,-79.3059161,18
370010212062,Block Group 2,5661879.000000000000000,39600.000000000000000,+36.0868786,-79.3000921,39,37001021206,Census Tract 212.06,12970000.000000000000000,80013.000000000000000,+36.0854351,-79.3059161,18
370010212071,Block Group 1,10032060.000000000000000,858753.000000000000000,+36.1053504,-79.2949549,40,37001021207,Census Tract 212.07,11929846.000000000000000,858753.000000000000000,+36.1053504,-79.2949549,19
370010213001,Block Group 1,46529808.000000000000000,1068129.000000000000000,+36.2019636,-79.3532252,41,37001021300,Census Tract 213,135258628.000000000000000,3674293.000000000000000,+36.1793834,-79.3074411,20
370010213002,Block Group 2,25091960.000000000000000,625146.000000000000000,+36.2042117,-79.3043245,42,37001021300,Census Tract 213,135258628.000000000000000,3674293.000000000000000,+36.1793834,-79.3074411,20
370010213003,Block Group 3,26439133.000000000000000,410049.000000000000000,+36.2182327,-79.2795166,43,37001021300,Census Tract 213,135258628.000000000000000,3674293.000000000000000,+36.1793834,-79.3074411,20
370010213004,Block Group 4,12378112.000000000000000,610814.000000000000000,+36.1330375,-79.2806184,44,37001021300,Census Tract 213,135258628.000000000000000,3674293.000000000000000,+36.1793834,-79.3074411,20
370010213005,Block Group 5,24819615.000000000000000,960155.000000000000000,+36.1568634,-79.3228336,45,37001021300,Census Tract 213,135258628.000000000000000,3674293.000000000000000,+36.1793834,-79.3074411,20
370010214001,Block Group 1,23539213.000000000000000,950323.000000000000000,+36.1436593,-79.4004744,46,37001021400,Census Tract 214,65185992.000000000000000,4520234.000000000000000,+36.1981840,-79.4230180,21
370010214002,Block Group 2,41646779.000000000000000,3569911.000000000000000,+36.2177578,-79.4015592,47,37001021400,Census Tract 214,65185992.000000000000000,4520234.000000000000000,+36.1981840,-79.4230180,21
370010215001,Block Group 1,17075543.000000000000000,357422.000000000000000,+36.1938775,-79.5066461,48,37001021500,Census Tract 215,91556007.000000000000000,2221943.000000000000000,+36.1916118,-79.4835828,22
370010215002,Block Group 2,46596804.000000000000000,1254162.000000000000000,+36.2153772,-79.4863698,49,37001021500,Census Tract 215,91556007.000000000000000,2221943.000000000000000,+36.1916118,-79.4835828,22
370010215003,Block Group 3,10121904.000000000000000,162722.000000000000000,+36.1680327,-79.4472556,50,37001021500,Census Tract 215,91556007.000000000000000,2221943.000000000000000,+36.1916118,-79.4835828,22
370010215004,Block Group 4,17761756.000000000000000,447637.000000000000000,+36.1647999,-79.4822778,51,37001021500,Census Tract 215,91556007.000000000000000,2221943.000000000000000,+36.1916118,-79.4835828,22
370010216001,Block Group 1,10504281.000000000000000,312875.000000000000000,+36.1588973,-79.5190222,52,37001021600,Census Tract 216,33246350.000000000000000,808574.000000000000000,+36.1447926,-79.5202660,23
370010216002,Block Group 2,11517154.000000000000000,359544.000000000000000,+36.1354095,-79.5054593,53,37001021600,Census Tract 216,33246350.000000000000000,808574.000000000000000,+36.1447926,-79.5202660,23
370010216003,Block Group 3,3417836.000000000000000,45908.000000000000000,+36.1093217,-79.5255902,54,37001021600,Census Tract 216,33246350.000000000000000,808574.000000000000000,+36.1447926,-79.5202660,23
370010216004,Block Group 4,7807079.000000000000000,90247.000000000000000,+36.1183311,-79.5027351,55,37001021600,Census Tract 216,33246350.000000000000000,808574.000000000000000,+36.1447926,-79.5202660,23
370010217011,Block Group 1,2224291.000000000000000,8503.000000000000000,+36.0928125,-79.5357224,56,37001021701,Census Tract 217.01,4251814.000000000000000,63639.000000000000000,+36.0927095,-79.5291655,50
370010217021,Block Group 1,1033570.000000000000000,6322.000000000000000,+36.1018577,-79.5045160,57,37001021702,Census Tract 217.02,5494306.000000000000000,44880.000000000000000,+36.0930886,-79.5083273,24
370010217022,Block Group 2,2635421.000000000000000,36640.000000000000000,+36.0881757,-79.5056871,58,37001021702,Census Tract 217.02,5494306.000000000000000,44880.000000000000000,+36.0930886,-79.5083273,24
370010217031,Block Group 1,16959978.000000000000000,2366535.000000000000000,+36.0441135,-79.5126227,59,37001021703,Census Tract 217.03,23249464.000000000000000,2489694.000000000000000,+36.0544437,-79.5186281,25
370010217032,Block Group 2,6289486.000000000000000,123159.000000000000000,+36.0743638,-79.5183208,60,37001021703,Census Tract 217.03,23249464.000000000000000,2489694.000000000000000,+36.0544437,-79.5186281,25
370010218011,Block Group 1,21894437.000000000000000,839828.000000000000000,+36.0145377,-79.4722399,61,37001021801,Census Tract 218.01,81091369.000000000000000,1845429.000000000000000,+35.9869584,-79.4822243,26
370010218012,Block Group 2,37410910.000000000000000,645841.000000000000000,+35.9865087,-79.5056476,62,37001021801,Census Tract 218.01,81091369.000000000000000,1845429.000000000000000,+35.9869584,-79.4822243,26
370010218013,Block Group 3,21786022.000000000000000,359760.000000000000000,+35.9365201,-79.4991098,63,37001021801,Census Tract 218.01,81091369.000000000000000,1845429.000000000000000,+35.9869584,-79.4822243,26
370010218022,Block Group 2,49620495.000000000000000,393028.000000000000000,+35.9390360,-79.4437274,64,37001021802,Census Tract 218.02,72581603.000000000000000,644149.000000000000000,+35.9390360,-79.4437274,27
370010218031,Block Group 1,47969862.000000000000000,843727.000000000000000,+35.8874528,-79.5116931,65,37001021803,Census Tract 218.03,94817067.000000000000000,1449589.000000000000000,+35.8777839,-79.4773039,28
370010219011,Block Group 1,10495192.000000000000000,361641.000000000000000,+36.0133874,-79.3826015,66,37001021901,Census Tract 219.01,55436302.000000000000000,1335221.000000000000000,+35.9861226,-79.3694459,29
